line_number,raw,error
18,"172.16.1.20 - - [20/Mar/2026:10:56:34 +0900] ""POST /api/orders HTTP/1.1"" 99 100",invalid format
25,"172.16.1.20 - - [20/Mar/2026:10:07:02 +0900] ""PUT /login HTTP/1.1"" 99 100",invalid format
27,"127.0.0.1 - - [20/Mar/2026:10:37:44 +0900] ""FETCH /api/orders HTTP/1.1"" 200 100",invalid method: FETCH
34,this is not a valid log line,invalid format
63,"172.16.1.20 - - [20/Mar/2026:10:44:28 +0900] ""FETCH /health HTTP/1.1"" 200 100",invalid method: FETCH
73,"192.168.0.10 - - [20/Mar/2026:10:35:29 +0900] ""PUT / HTTP/1.1"" 999 100",status_code out of range: 999
76,this is not a valid log line,invalid format
82,"10.0.0.5 - - [20/Mar/2026:10:30:02 +0900] ""GET /health HTTP/1.1"" 999 100",status_code out of range: 999
84,"172.16.1.20 - - [20/Mar/2026:10:31:58 +0900] ""PUT /health HTTP/1.1"" 999 100",status_code out of range: 999
102,this is not a valid log line,invalid format
110,"192.168.0.10 - - [20/Mar/2026:10:36:50 +0900] ""INVALID /login HTTP/1.1"" 200 100",invalid method: INVALID
120,this is not a valid log line,invalid format
122,this is not a valid log line,invalid format
123,this is not a valid log line,invalid format
128,"8.8.8.8 - - [20/Mar/2026:10:25:23 +0900] ""POST /login HTTP/1.1"" 99 100",invalid format
135,"10.0.0.5 - - [20/Mar/2026:10:13:49 +0900] ""INVALID /api/users HTTP/1.1"" 200 100",invalid method: INVALID
137,"10.0.0.5 - - [20/Mar/2026:10:35:37 +0900] ""FETCH /api/users HTTP/1.1"" 200 100",invalid method: FETCH
154,"8.8.8.8 - - [20/Mar/2026:10:38:51 +0900] ""INVALID /index.html HTTP/1.1"" 200 100",invalid method: INVALID
164,this is not a valid log line,invalid format
176,"10.0.0.5 - - [20/Mar/2026:10:56:31 +0900] ""FETCH /index.html HTTP/1.1"" 200 100",invalid method: FETCH
177,this is not a valid log line,invalid format
179,"192.168.0.10 - - [20/Mar/2026:10:57:27 +0900] ""FETCH /api/users HTTP/1.1"" 200 100",invalid method: FETCH
184,"172.16.1.20 - - [20/Mar/2026:10:44:32 +0900] ""GET /api/orders HTTP/1.1"" 999 100",status_code out of range: 999
186,"172.16.1.20 - - [20/Mar/2026:10:47:24 +0900] ""FETCH / HTTP/1.1"" 200 100",invalid method: FETCH
190,"8.8.8.8 - - [20/Mar/2026:10:41:19 +0900] ""PUT / HTTP/1.1"" 999 100",status_code out of range: 999
196,"10.0.0.5 - - [20/Mar/2026:10:26:51 +0900] ""PUT / HTTP/1.1"" 99 100",invalid format
